id,name,category,price,in_stock,created_at
1,Wireless Mouse,Electronics,29.99,true,2025-01-15 10:00:00
2,USB-C Hub,Electronics,49.99,true,2025-01-20 11:30:00
3,Standing Desk Mat,Office,39.99,true,2025-02-01 09:00:00
4,Mechanical Keyboard,Electronics,89.99,false,2025-02-10 14:00:00
5,Monitor Light Bar,Lighting,34.99,true,2025-02-15 16:00:00
6,Desk Organizer,Office,24.99,true,2025-03-01 08:30:00
7,Webcam HD,Electronics,59.99,true,2025-03-05 12:00:00
8,Noise Cancelling Headphones,Audio,149.99,false,2025-03-10 10:00:00
9,Laptop Stand,Office,44.99,true,2025-03-15 15:00:00
10,Smart Power Strip,Electronics,32.99,true,2025-03-20 11:00:00
